"TS 1117 CW50";"1";""
"CTB0509-4";"1";"J2 Power"
"FLINK 0,125A";"1";""
"PS 25/2G WS";"2";"J3 DC/DC"
"PS 25/3G WS";"4";"D1 Display"
"LITT 0215002.MXP";"1";""
"TANTAL 10/25";"1";""
"PS 25/3G BR";"3";"J4 Sensor J1 Analog"
"LM 1117 MP5,0";"1";""
"FAN-ML 4010-12";"2";""
"76-10 10K";"1";""
"MKS2-63 330N";"1";""
"MKS2-50 1,0?";"6";""
"LM 358 DIP";"1";""
"VIT CR254R0,15";"1";""
"BL 1X20G8 2,54";"2";""
"GS 8";"1";""
"JUMPER 2,54 SW";"1";""
"1/4W 100K";"2";""
"1/4W 1,0K";"3";""
"1/4W 10";"1";""
"1/4W 4,7K";"1";""
"1/4W 180";"1";""
"RKT 5012";"1";""
"ARD MEGA2560 PRO";"1";""
"SL 1X36G 2,54";"2";""
"TASTER 3305B";"4";""
"1/4W 47K";"1";""
"CNY 70";"1";""
"LITT 64700001003";"2";""
